,country,production_count,Lat,Lng
0,United States,381,37.09024,-95.712891
1,United Kingdom,51,55.378051,-3.435973
2,South Korea,38,35.907757,127.766922
3,Japan,35,36.204824,138.252924
4,Spain,29,40.46366700000001,-3.74922
5,Canada,31,56.130366,-106.346771
6,Mexico,26,23.634501,-102.552784
7,France,25,46.227638,2.213749
8,Germany,24,51.165691,10.451526
9,Brazil,17,-14.235004,-51.92528
10,India,16,20.593684,78.96288
11,China,16,35.86166,104.195397
12,Australia,14,-25.274398,133.775136
13,Poland,12,51.919438,19.145136
14,Italy,11,41.87194,12.56738
15,Turkey,8,38.963745,35.243322
16,Hong Kong,6,22.3193039,114.1693611
17,Denmark,5,56.26392,9.501785
18,Sweden,5,60.12816100000001,18.643501
19,South Africa,5,-30.559482,22.937506
20,Belgium,5,50.503887,4.469936
21,Colombia,4,4.570868,-74.297333
22,Argentina,4,-38.416097,-63.61667199999999
23,Iceland,3,64.963051,-19.020835
24,Netherlands,3,52.132633,5.291265999999999
26,Republic of Colombia,3,4.570868,-74.297333
28,Thailand,3,15.870032,100.992541
29,Czech Republic,2,49.81749199999999,15.472962
30,Norway,2,60.47202399999999,8.468945999999999
31,United Arab Emirates,2,23.424076,53.847818
32,Bulgaria,2,42.733883,25.48583
33,Nigeria,2,9.081999,8.675277
34,Switzerland,2,46.818188,8.227511999999999
35,Chile,2,-35.675147,-71.542969
36,Romania,2,45.943161,24.96676
37,New Zealand,2,-40.900557,174.885971
38,Greece,2,39.074208,21.824312
39,Peru,1,-9.189967,-75.015152
40,Luxembourg,1,49.815273,6.129582999999999
41,Hungary,1,47.162494,19.503304
42,Finland,1,61.92410999999999,25.748151
43,Russian Federation,1,61.52401,105.318756
44,Ireland,1,53.1423672,-7.692053599999999
45,Singapore,1,1.352083,103.819836
47,Qatar,1,25.354826,51.183884
48,Jordan,1,30.585164,36.238414
49,Vietnam,1,14.058324,108.277199
50,Saint Kitts and Nevis,1,17.357822,-62.782998
51,Israel,1,31.046051,34.851612
52,Austria,1,47.516231,14.550072
